Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
clean and sound Nissan primera for sale ,"1,100,000",Nissan,Primera,2002,,Automatic,,Petrol,,Badagry,4532
Toyota Sienna for sale ,"1,400,000",Toyota,Sienna,2001,,Automatic,,Petrol,,Badagry,47523
Toyota Sienna for sale ,"1,400,000",Toyota,Sienna,2001,,Automatic,,Petrol,,Badagry,47523
Toyota Hiace Bus,"1,650,000",Toyota,Hiace,2002,,Automatic,,Petrol,,Lagos,0213
Mercedes Benz C 300,"2,700,000",Mercedes,C -class,2004,,Automatic,,Petrol,,Lagos,0325
Toyota Highlander,"2,300,000",Toyota,Highlander,2003,,Automatic,,Petrol,,Lagos,0245
Toyota Camry pencil light,"1,280,000",Toyota,Camry,2001,,Automatic,,Petrol,,Apapa,0232
Toyota Camry big daddy,"1,300,000",Toyota,Camry,2001,,Automatic,,Petrol,,Asaba,0224
Honda accord ,"1,300,000",Honda,Accord,2004,,Automatic,,Petrol,,Badagry,65893
Toyota  corolla ,"1,300,000",Toyota,Corolla,2003,,Automatic,,Petrol,,Badagry,745111
Honda accord ,"1,300,000",Honda,Accord,2004,,Automatic,,Petrol,,Badagry,658473
Toyota Avensis Wagon ,"1,000,000",Toyota,Avensis,2002,,Automatic,,Petrol,,Lagos,51000
Toyota camry,"2,500,000",Toyota,Camry,2008,,Automatic,,Petrol,,Lagos,10960
Foreign used Lexus RX 350 2010 model,"2,000,000",Lexus,RX,2002,,Automatic,,Petrol,,Abeokuta,113542
Toyota Camry 2007 model,"1,650,000",Toyota,Camry,2002,,Automatic,,Petrol,,Badagry,12000
2004 SUPER CLEAN TOYOTA AVENSIS,"1,250,000",Toyota,Avensis,2002,,Automatic,,Petrol,,Badagry,10299
Very good and sound Toyota venza 2008,"1,650,000",Toyota,Venza,2002,,Automatic,,Petrol,,Badagry,801111
very sound Toyota Camry 2000 model for sale ,"1,050,000",Toyota,Camry,2002,,Automatic,,Petrol,,Ibadan,21000
